Time,"T° Read 2:485/20,528/20",A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:08:35,37,12923,12399,12185,12260,12335,12267,12277,12307,11237,12158,11778,12948,12631,5159,5056,5105,9600,9687,12706,13419,9567,8627,11532,12673,12519,5439,4903,4883,8864,8619,11395,12076,9286,9135,11215,12605,12611,5018,4864,4888,8506,8552,11307,11783,8731,8916,10883,12782,12601,5175,4861,4930,8355,8643,10985,11624,8777,8816,10999,12858,12743,4919,4916,11125,10827,11179,10826,10986,10860,11275,11326,12855,13033,5106,4938,10968,10788,10790,10617,10837,10977,11164,11713,13276,13362,13689,13200,12762,13084,12974,12987,13726,12825,12990,12774,13566
0:18:35,36.9,12897,12360,12229,12202,12265,12214,12254,12282,11242,12099,11782,12871,12607,5205,5085,5124,9600,9765,12653,13521,9505,8597,11426,12607,12494,5744,5038,5105,9627,9703,12813,13148,9626,9989,11577,12667,12614,5187,5099,5068,9460,9532,12838,13370,9548,9700,11705,12766,12566,5258,5055,5135,9297,9577,12299,13154,9748,9740,11719,12844,12711,4973,5107,12125,11833,12142,11852,12172,12049,12297,11646,12871,13030,5137,5084,11830,11732,11777,11660,11874,11865,11894,11686,13200,13302,13576,13216,12685,13104,12896,12887,13650,12746,12961,12775,13464
0:28:35,37,12869,12285,12204,12182,12267,12147,12160,12278,11190,12129,11755,12761,12527,5281,5049,5149,9665,9823,12741,13623,9512,8654,11485,12510,12449,5776,5111,5152,9584,9819,12816,13211,9628,10033,11569,12585,12619,5169,5102,5136,9428,9617,12935,13385,9584,9709,11698,12716,12571,5266,5083,5207,9264,9652,12584,13245,9698,9707,11617,12835,12616,5022,5090,12261,11998,12448,12088,12174,12027,12321,11633,12845,12961,5156,5053,11849,11725,11741,11726,11892,11906,11851,11636,13135,13254,13521,13120,12710,12994,12894,12966,13675,12772,12883,12741,13472
0:38:35,36.9,12753,12283,12128,12168,12245,12194,12162,12239,11200,12115,11683,12787,12495,5366,5052,5132,9656,9932,12765,13601,9479,8693,11464,12549,12457,5898,5137,5136,9611,9919,12851,13331,9624,10076,11509,12560,12558,5153,5118,5181,9455,9714,12945,13583,9588,9606,11657,12731,12595,5262,5079,5283,9239,9749,12551,13325,9649,9688,11619,12772,12670,5016,5093,12216,12020,12422,12058,12173,12028,12298,11584,12811,12920,5157,5037,11766,11667,11717,11667,11836,11851,11825,11615,13144,13182,13559,13141,12711,13031,12865,12855,13669,12753,12868,12717,13440
0:48:35,37,12725,12199,11996,12098,12088,12084,12038,12162,11134,11942,11609,12619,12375,5439,5060,5117,9618,9914,12709,13662,9411,8664,11343,12470,12310,6055,5108,5121,9577,9939,12765,13318,9547,10091,11455,12461,12497,5132,5116,5144,9420,9709,12912,13547,9567,9627,11585,12635,12476,5225,5011,5312,9205,9804,12431,13427,9660,9636,11600,12736,12554,5013,5073,12145,11887,12319,11983,12070,11991,12103,11542,12710,12878,5185,5020,11718,11566,11676,11569,11800,11743,11738,11563,13031,13108,13466,13046,12607,12919,12779,12802,13567,12642,12800,12573,13399
0:58:35,37,12583,12126,11904,11994,12079,12030,12038,12072,11006,11880,11525,12591,12412,5653,5124,5179,9690,10023,12749,13678,9376,8746,11363,12432,12297,6216,5173,5102,9579,10007,12899,13483,9482,10157,11444,12419,12413,5131,5110,5236,9327,9805,13048,13728,9503,9591,11591,12594,12443,5206,5025,5375,9186,9892,12416,13692,9612,9659,11513,12602,12511,5072,5063,12084,11801,12276,11922,12084,11938,12174,11505,12615,12844,5251,5039,11691,11552,11617,11539,11779,11771,11764,11613,12993,13127,13379,13007,12566,12950,12789,12811,13576,12664,12786,12656,13264
1:08:35,37,12654,12201,12090,12123,12118,12084,12073,12160,11085,11973,11591,12645,12448,6138,5216,5217,9798,10298,13029,14046,9409,8872,11425,12546,12396,6572,5287,5206,9611,10306,13088,13742,9643,10394,11520,12555,12493,5199,5112,5339,9401,10024,13273,14009,9564,9652,11596,12722,12512,5250,5076,5507,9313,10156,12466,13984,9693,9652,11596,12740,12601,5232,5092,12189,11954,12378,12038,12174,11975,12234,11589,12740,12915,5372,5089,11826,11629,11725,11578,11810,11835,11792,11588,13060,13124,13484,13112,12658,12976,12795,12813,13570,12676,12808,12648,13389
1:18:35,37,12645,12135,12033,12075,12120,12004,12064,12127,11100,11976,11545,12588,12417,6212,5299,5322,9943,10500,13069,14241,9478,8978,11424,12417,12345,6872,5364,5235,9626,10531,13196,13994,9561,10546,11469,12563,12428,5145,5119,5411,9421,10158,13351,14380,9550,9616,11633,12692,12466,5260,5079,5686,9287,10322,12469,14267,9651,9700,11612,12691,12582,5309,5084,12153,11942,12398,12056,12163,12021,12245,11495,12720,12874,5468,5073,11746,11630,11683,11586,11837,11782,11778,11575,13047,13112,13469,13090,12620,12959,12801,12885,13683,12653,12853,12593,13290
1:28:35,37,12521,12142,12001,12010,12095,12020,12006,12057,11066,11891,11560,12559,12382,6723,5381,5340,9994,10777,13200,14447,9486,9167,11337,12408,12360,7439,5447,5329,9625,10805,13342,14238,9577,10727,11484,12469,12399,5179,5151,5509,9385,10362,13429,14716,9546,9680,11600,12655,12377,5215,5070,5811,9225,10513,12456,14605,9641,9670,11551,12679,12515,5365,5078,12148,11882,12350,11971,12118,11990,12168,11500,12641,12800,5572,5061,11736,11553,11685,11620,11786,11770,11794,11567,13016,13091,13520,13061,12572,12926,12782,12849,13605,12619,12802,12597,13293
1:38:35,37,12482,12053,11942,11926,12001,11933,11985,12037,10928,11796,11448,12459,12345,7221,5434,5407,10025,11149,13320,14836,9402,9275,11298,12369,12313,8073,5621,5383,9593,11171,13455,14627,9501,10863,11455,12413,12340,5156,5082,5644,9387,10562,13600,15195,9492,9581,11546,12573,12399,5228,5012,6045,9213,10779,12423,14869,9623,9654,11566,12652,12450,5456,5052,12073,11816,12337,11943,12034,11934,12125,11501,12631,12748,5635,5006,11649,11564,11638,11533,11781,11750,11681,11515,12964,12963,13389,12979,12540,12827,12680,12809,13556,12610,12731,12579,13203
1:48:35,37,12434,12056,11850,11888,12013,11894,11919,11919,10889,11755,11374,12423,12293,8094,5572,5495,10108,11702,13436,15484,9407,9542,11322,12339,12287,8860,5708,5444,9514,11634,13646,15374,9514,11187,11372,12433,12356,5100,5111,5796,9343,10840,13762,15952,9487,9581,11523,12525,12339,5196,5046,6140,9238,10918,12368,15107,9633,9614,11471,12612,12428,5565,5033,12102,11795,12291,11878,12044,11890,12138,11501,12613,12720,5786,5008,11710,11490,11595,11500,11742,11694,11666,11563,12932,12898,13338,12933,12498,12843,12693,12755,13452,12580,12710,12520,13138
1:58:35,37,12394,12018,11858,11908,12031,11895,11861,11974,10872,11745,11393,12389,12321,8733,5751,5627,10316,12521,13672,16306,9411,9855,11265,12299,12296,9883,5921,5556,9607,12425,13997,16232,9480,11623,11393,12409,12336,5167,5101,6024,9337,11344,14094,16965,9499,9611,11552,12571,12300,5222,5049,6357,9193,11233,12423,15533,9613,9606,11544,12559,12418,5719,5090,12125,11818,12288,11877,12042,11921,12196,11451,12574,12705,6064,5036,11686,11573,11664,11554,11728,11650,11723,11503,12975,12974,13373,12898,12574,12843,12755,12759,13476,12570,12693,12541,13191
2:08:35,37,12406,12089,11934,11937,11996,11964,11937,12010,10932,11756,11437,12447,12367,9394,5976,5829,10611,13402,14066,17311,9427,10480,11400,12406,12306,11325,6191,5745,9667,13351,14411,17200,9626,12316,11509,12458,12406,5207,5186,6412,9427,12109,14494,17981,9538,9639,11666,12614,12422,5248,5088,6657,9276,11548,12530,16148,9643,9661,11577,12677,12509,6046,5108,12166,11893,12409,12039,12142,11980,12202,11537,12693,12756,6378,5038,11732,11619,11703,11610,11853,11756,11797,11602,12973,12967,13433,12998,12585,12913,12822,12818,13527,12675,12788,12612,13219
2:18:35,37,12444,12084,11932,12005,12025,11954,11959,11999,10934,11797,11477,12431,12348,11272,6284,5997,10970,14458,14425,18372,9463,11196,11361,12447,12339,12999,6501,5894,9667,14358,14732,18307,9617,13131,11522,12502,12468,5224,5220,6796,9439,12949,14699,19375,9600,9691,11665,12672,12391,5293,5075,6866,9261,11879,12588,16639,9685,9718,11588,12716,12468,6269,5102,12229,11932,12416,12049,12152,12064,12286,11562,12715,12822,6654,5048,11792,11625,11751,11620,11864,11860,11768,11603,12993,13012,13441,13101,12626,12947,12811,12855,13621,12741,12843,12613,13304
2:28:35,37,12437,12028,11920,11941,11978,11976,11933,11983,10903,11747,11378,12373,12294,12412,6555,6263,11182,15774,14701,19618,9452,11908,11367,12375,12304,14957,6864,6136,9704,15669,15124,19716,9540,13984,11518,12469,12404,5199,5233,7350,9461,13796,14708,21030,9559,9624,11628,12605,12380,5258,5080,7127,9280,12359,12519,17286,9656,9689,11619,12692,12474,6530,5132,12179,11888,12439,12018,12152,12032,12213,11565,12726,12737,6939,5081,11699,11621,11704,11595,11843,11769,11735,11551,12997,12953,13434,12993,12611,12884,12823,12850,13554,12716,12794,12619,13187
2:38:35,37,12372,12057,11879,11994,11952,11894,11868,11939,10905,11782,11413,12370,12311,13975,6864,6526,11498,17391,15066,21351,9439,12757,11372,12333,12253,17070,7283,6412,9638,17233,15517,21406,9620,15019,11460,12430,12377,5174,5270,8098,9451,14944,14841,22840,9598,9652,11673,12617,12353,5254,5072,7448,9240,12823,12501,17894,9685,9677,11611,12668,12493,6836,5106,12175,11910,12321,12038,12133,12001,12255,11552,12704,12716,7261,5051,11791,11618,11723,11574,11771,11792,11744,11560,12979,12917,13436,13054,12597,12950,12826,12808,13651,12663,12791,12549,13216
2:48:35,37,12337,12044,11887,11961,11924,11919,11876,11972,10849,11787,11406,12407,12345,15851,7121,7043,11832,18975,15582,23206,9469,13893,11399,12407,12325,19288,7810,6867,9691,19057,16105,23424,9585,16406,11484,12476,12429,5202,5337,8897,9442,16432,15177,25026,9633,9708,11628,12645,12413,5253,5116,7972,9304,13358,12548,18388,9679,9689,11622,12635,12442,7185,5136,12183,11957,12433,12064,12107,12009,12236,11613,12750,12701,7721,5081,11830,11678,11712,11652,11862,11774,11812,11621,12950,12956,13438,13009,12599,12906,12849,12806,13548,12639,12833,12690,13212
2:58:35,37,12360,12004,11842,11977,11978,11897,11897,11969,10837,11716,11370,12355,12252,17910,7555,7676,12351,21026,16143,25392,9479,15296,11381,12447,12327,22006,8415,7397,9741,20977,16655,25489,9604,18053,11518,12409,12418,5180,5411,9903,9455,18077,15404,27247,9585,9715,11699,12665,12351,5291,5095,8412,9320,14001,12507,18975,9697,9674,11650,12621,12484,7646,5132,12183,11949,12416,12062,12130,12037,12249,11570,12678,12725,8098,5061,11813,11662,11758,11659,11869,11816,11754,11580,13004,12922,13400,13030,12569,12942,12788,12798,13616,12636,12805,12644,13187
3:08:35,37,12194,11970,11791,11841,11950,11881,11817,11890,10781,11645,11320,12256,12283,20490,7931,8378,12747,23017,16457,27551,9465,16591,11312,12369,12238,25049,8809,8103,9679,22987,16934,27650,9552,19732,11435,12420,12365,5231,5449,11215,9359,19789,15618,29415,9541,9641,11539,12548,12251,5290,5092,9062,9227,14382,12492,19474,9618,9642,11535,12607,12407,7947,5092,12165,11875,12308,11967,12101,11942,12131,11520,12569,12652,8337,5040,11767,11565,11698,11521,11784,11743,11720,11486,12899,12817,13366,12972,12537,12859,12731,12750,13495,12611,12716,12556,13135
3:18:35,37,12181,11855,11740,11795,11838,11816,11813,11806,10776,11603,11229,12208,12186,23059,8170,9189,13148,25279,16728,29974,9369,18308,11271,12267,12177,28178,9262,8878,9605,25283,17131,30008,9556,21711,11389,12370,12286,5161,5546,12677,9374,21820,15761,31913,9475,9706,11591,12555,12200,5221,5077,9392,9304,14842,12453,20123,9596,9630,11558,12577,12293,8167,5109,12111,11901,12315,11957,12098,11921,12102,11490,12567,12599,8671,5022,11797,11545,11588,11545,11765,11774,11685,11471,12881,12747,13324,12914,12507,12861,12737,12715,13496,12657,12677,12484,13135
3:28:35,37,12084,11884,11685,11795,11800,11707,11702,11742,10683,11589,11200,12114,12115,25408,8462,10261,13369,27556,16852,32550,9352,20075,11269,12225,12190,31236,9752,9873,9599,27583,16927,32433,9535,23805,11357,12345,12232,5161,5608,14451,9356,23825,15901,34413,9525,9643,11533,12464,12181,5238,5023,9859,9251,15441,12444,20829,9623,9618,11590,12499,12309,8507,5106,12086,11822,12244,11900,12049,11947,12128,11490,12538,12546,8945,5026,11652,11586,11630,11533,11732,11725,11685,11445,12850,12726,13253,12917,12495,12759,12692,12661,13424,12505,12665,12469,13071
3:38:35,37,12051,11834,11637,11713,11789,11678,11660,11720,10647,11450,11164,12040,12039,28462,8697,11691,13138,30270,16731,34940,9316,21939,11202,12154,12117,34214,10245,11135,9544,30456,17078,35063,9475,26258,11346,12274,12190,5132,5697,16398,9383,26144,15819,37257,9449,9662,11519,12409,12184,5243,5039,10404,9183,16010,12341,21318,9537,9576,11477,12479,12253,8746,5081,12095,11795,12265,11913,12042,11868,12077,11439,12517,12446,9141,5011,11663,11498,11602,11475,11658,11634,11614,11407,12731,12675,13260,12848,12406,12824,12603,12613,13433,12435,12628,12457,12992
3:48:35,37,12083,11822,11715,11765,11744,11688,11738,11695,10683,11534,11177,12117,12190,30975,9110,13340,13416,33468,16940,38143,9374,24151,11230,12252,12127,37361,10990,12731,9602,33674,17272,38486,9506,28726,11373,12307,12240,5202,5866,18783,9405,28592,15754,40599,9541,9674,11535,12462,12244,5217,5057,11053,9223,16682,12392,21844,9616,9599,11524,12523,12232,8980,5091,12088,11794,12265,11877,12041,11916,12150,11482,12565,12550,9520,5076,11805,11561,11678,11541,11748,11716,11713,11498,12870,12737,13267,12916,12453,12816,12650,12717,13419,12618,12682,12477,13062
3:58:35,37,12047,11878,11760,11881,11863,11771,11757,11811,10683,11594,11257,12163,12233,34030,9387,15533,13715,37178,17213,41795,9376,26648,11253,12330,12253,40877,11737,14634,9664,37414,17612,42061,9648,32100,11424,12421,12333,5254,6102,21640,9465,31888,15922,44610,9596,9819,11661,12575,12292,5302,5072,11892,9336,17501,12496,22616,9715,9676,11552,12610,12343,9280,5129,12192,11941,12394,12054,12153,12017,12230,11581,12615,12610,9773,5118,11786,11614,11723,11623,11872,11810,11782,11618,12886,12811,13422,13004,12511,12904,12773,12788,13591,12659,12772,12591,13147
4:08:35,37,12104,11998,11852,11883,11976,11856,11852,11907,10779,11661,11287,12169,12314,37279,9759,17627,13960,40794,17473,45522,9517,29626,11443,12323,12335,44493,12477,16776,9776,41184,17864,45981,9620,35647,11566,12569,12394,5252,6418,24932,9540,35343,16137,48627,9616,9896,11733,12650,12360,5355,5144,12670,9432,18187,12617,23179,9813,9740,11707,12718,12455,9625,5184,12300,12052,12477,12102,12284,12103,12380,11662,12771,12656,10086,5173,11904,11805,11828,11716,11953,11942,11860,11679,12996,12877,13470,13069,12649,13003,12842,12881,13638,12752,12827,12644,13170
4:18:35,37,12159,12021,11875,11969,11962,11870,11827,11939,10804,11676,11300,12238,12350,39995,9994,20086,14147,44263,17708,49368,9546,32549,11390,12368,12351,48307,13071,19119,9776,44835,17942,49702,9711,39378,11609,12574,12444,5322,6701,28204,9601,38817,16726,52606,9710,10001,11787,12770,12390,5364,5190,13239,9369,18710,12685,23563,9772,9860,11784,12737,12496,9895,5184,12353,12109,12510,12171,12331,12208,12389,11727,12805,12714,10403,5162,11948,11797,11861,11741,12020,11948,11933,11771,13062,12936,13523,13132,12682,13041,12945,12939,13679,12799,12899,12683,13261
4:28:35,37,12217,12035,11924,11972,12010,11898,11867,11913,10859,11793,11334,12255,12336,43128,10219,23044,14249,48183,17801,53406,9544,35645,11487,12504,12421,51699,13533,21957,9816,48677,18200,53691,9717,43223,11668,12566,12458,5323,6967,31487,9646,42368,17233,56625,9702,10078,11811,12727,12467,5383,5209,13845,9466,19195,12733,23895,9876,9866,11821,12760,12522,10180,5203,12376,12122,12532,12238,12287,12194,12454,11730,12780,12768,10748,5183,11941,11830,11948,11798,12044,11961,11931,11763,13098,12967,13565,13199,12736,13068,12946,12978,13692,12808,12941,12768,13235
4:38:35,37,12194,12113,11946,12056,12060,11991,11963,11930,10869,11776,11399,12284,12448,47192,10526,26285,14505,52043,17971,57545,9625,39047,11529,12535,12465,55281,14068,25177,9863,52787,18366,57621,9789,47420,11748,12668,12593,5380,7301,34943,9651,46169,17632,60925,9828,10247,11933,12859,12481,5432,5254,14322,9472,19666,12808,24360,9923,9972,11908,12959,12594,10580,5274,12484,12273,12686,12356,12479,12358,12595,11868,12917,12873,11094,5208,12031,11891,12037,11936,12197,12054,12097,11852,13189,12970,13618,13284,12838,13193,13051,13045,13844,12855,12998,12793,13361
4:48:35,37,12341,12189,12093,12174,12197,12074,12016,12050,10925,11835,11465,12369,12559,49685,10942,29759,14689,56376,18190,62052,9740,42597,11677,12666,12602,59394,14409,28766,10003,57103,18514,62187,9880,51928,11870,12816,12677,5427,7760,38541,9764,50556,17696,65540,9934,10447,12013,12963,12637,5484,5292,14798,9627,20098,12970,24856,10021,10012,12013,12987,12703,10844,5322,12684,12347,12873,12435,12559,12478,12657,11988,13071,12938,11308,5286,12175,12030,12173,12048,12247,12280,12235,11995,13337,13042,13785,13429,12945,13260,13163,13199,14076,13057,13202,12973,13445
4:58:35,37,12421,12318,12177,12230,12294,12129,12134,12216,11094,11972,11592,12462,12683,53688,11298,33339,14939,60296,18451,66660,9839,46551,11759,12800,12738,63194,14947,32396,10077,61111,18796,66584,10039,56667,12008,12954,12823,5462,8250,42675,9869,54840,17874,70040,10030,10641,12160,13123,12766,5553,5323,15214,9749,20556,13106,25359,10088,10201,12143,13155,12803,11139,5351,12823,12452,13014,12610,12753,12625,12833,12153,13164,13106,11518,5348,12359,12204,12270,12138,12410,12418,12354,12112,13462,13201,13899,13570,13090,13466,13324,13361,14104,13156,13314,13057,13652
5:08:35,37,12469,12386,12242,12366,12348,12241,12214,12236,11101,12105,11662,12581,12766,56977,11507,36764,15080,64206,18656,70785,9889,50368,11850,12853,12763,66856,15261,35869,10207,65181,18934,70650,10090,61139,12044,13063,12880,5531,8615,46734,9961,58814,18442,74165,10048,10828,12307,13206,12832,5600,5392,15676,9827,20979,13169,25843,10211,10283,12250,13259,12828,11296,5436,12866,12561,13063,12672,12856,12691,12928,12197,13271,13166,11750,5370,12423,12301,12328,12232,12529,12473,12404,12236,13581,13285,14049,13659,13158,13653,13407,13442,14277,13286,13412,13198,13685
5:18:35,37,12545,12453,12272,12406,12358,12272,12251,12361,11099,12099,11687,12549,12845,59337,11620,40072,15126,67716,18725,74956,9926,53829,11875,12945,12880,70367,15652,39364,10273,68610,19107,74570,10120,65171,12160,13033,12971,5536,8901,50544,10021,62484,18620,78071,10095,11088,12344,13257,12907,5644,5431,15973,9906,21262,13245,26182,10306,10327,12331,13337,12955,11424,5458,12960,12694,13150,12768,12888,12762,12958,12336,13344,13239,11825,5388,12527,12397,12442,12320,12578,12571,12527,12289,13623,13331,14059,13706,13284,13637,13517,13529,14384,13409,13491,13244,13745
5:28:35,37,12564,12537,12415,12505,12532,12372,12283,12400,11231,12199,11781,12629,12905,63297,11813,43580,15314,71189,18964,79311,10002,57401,12020,13094,12960,74035,16017,43089,10291,72177,19240,78707,10227,69213,12259,13244,13065,5646,9200,54323,10106,65875,18699,82183,10258,11340,12436,13390,13033,5690,5495,16432,9925,21790,13305,26539,10386,10426,12382,13448,13058,11546,5502,13042,12766,13297,12893,13036,12921,13184,12405,13483,13302,11909,5459,12658,12512,12621,12452,12692,12644,12638,12364,13719,13422,14199,13796,13431,13728,13556,13630,14392,13454,13591,13373,13906
5:38:35,37,12680,12643,12527,12651,12604,12486,12384,12498,11311,12293,11887,12674,13025,65502,11973,47554,15480,74866,19124,83610,10147,60958,12149,13154,13024,77585,16499,46866,10416,76232,19453,82761,10291,73551,12373,13355,13226,5669,9515,58233,10161,69529,19024,86352,10339,11694,12592,13544,13154,5729,5534,16835,10059,22205,13513,26925,10492,10562,12578,13534,13225,11792,5569,13228,12923,13428,13000,13158,12995,13254,12537,13549,13471,12143,5531,12774,12675,12707,12607,12763,12825,12748,12502,13903,13524,14376,13997,13502,13853,13747,13777,14581,13607,13767,13564,14001
5:48:35,37,12701,12699,12568,12687,12644,12618,12506,12596,11340,12380,12003,12777,13086,68339,12210,51456,15630,78506,19296,88301,10165,64302,12222,13164,13228,81204,16837,51008,10478,79713,19602,86816,10331,77522,12471,13449,13306,5732,9755,61851,10238,72829,19100,90201,10431,12031,12716,13641,13248,5789,5600,17190,10170,22629,13560,27311,10620,10640,12673,13658,13216,11887,5636,13256,13028,13487,13119,13202,13147,13373,12646,13660,13507,12311,5554,12847,12720,12804,12697,12910,12819,12821,12635,13936,13567,14430,14039,13641,13928,13801,13864,14684,13692,13835,13563,14153
5:58:35,37,12756,12723,12595,12688,12667,12567,12513,12578,11389,12354,11971,12832,13135,71885,12292,54961,15752,81397,19420,91595,10275,67540,12249,13305,13221,84179,17183,54715,10496,82774,19756,90317,10438,81443,12528,13532,13332,5729,9990,65340,10341,75859,19152,93855,10445,12489,12789,13707,13239,5821,5628,17519,10148,23008,13618,27632,10569,10708,12739,13732,13309,11965,5611,13359,13072,13574,13173,13290,13178,13410,12659,13763,13574,12428,5596,12923,12765,12855,12751,12957,12988,12944,12679,14037,13629,14502,14065,13627,13979,13887,13898,14688,13750,13946,13623,14111
6:08:35,37,12772,12793,12709,12809,12775,12669,12537,12676,11421,12488,12056,12895,13228,74896,12432,58657,15933,85176,19623,95756,10361,70903,12438,13400,13277,87505,17561,58453,10614,86283,19908,94288,10431,85496,12643,13637,13421,5790,10265,68836,10375,79322,19350,OVRFLW,10514,13095,12818,13800,13370,5927,5666,17916,10257,23259,13733,27863,10656,10852,12810,13787,13397,12100,5734,13456,13195,13616,13291,13434,13303,13564,12821,13817,13706,12590,5655,13081,12860,12988,12828,13150,13091,13000,12791,14142,13723,14600,14271,13742,14161,13980,13963,14936,13845,14005,13762,14272
