Time,A,B,C,D,E
0:08:00,0.136,0.145,0.171,0.12,0.097
0:18:00,0.146,0.158,0.17,0.133,0.096
0:28:00,0.159,0.171,0.192,0.144,0.097
0:38:00,0.17,0.181,0.219,0.152,0.097
0:48:00,0.18,0.195,0.247,0.163,0.097
0:58:00,0.195,0.215,0.272,0.177,0.097
1:08:00,0.221,0.245,0.298,0.236,0.097
1:18:00,0.245,0.275,0.338,0.223,0.097
1:28:00,0.277,0.311,0.396,0.254,0.097
1:38:00,0.309,0.354,0.45,0.295,0.097
1:48:00,0.343,0.404,0.508,0.318,0.097
1:58:00,0.378,0.43,0.561,0.336,0.097
2:08:00,0.401,0.455,0.626,0.357,0.097
2:18:00,0.423,0.479,0.671,0.426,0.097
2:28:00,0.441,0.501,0.699,0.396,0.097
2:38:00,0.463,0.525,0.724,0.42,0.097
2:48:00,0.483,0.548,0.748,0.436,0.097
2:58:00,0.498,0.566,0.771,0.448,0.097
3:08:00,0.51,0.579,0.793,0.461,0.097
3:18:00,0.522,0.588,0.814,0.472,0.098
3:28:00,0.533,0.599,0.835,0.483,0.097
3:38:00,0.545,0.609,0.854,0.489,0.097
3:48:00,0.556,0.623,0.87,0.504,0.097
3:58:00,0.568,0.635,0.883,0.511,0.097
4:08:00,0.575,0.648,0.893,0.519,0.097
4:18:00,0.585,0.656,0.902,0.531,0.098
4:28:00,0.595,0.66,0.91,0.54,0.097
4:38:00,0.604,0.667,0.918,0.543,0.097
4:48:00,0.608,0.676,0.925,0.547,0.097
4:58:00,0.608,0.679,0.933,0.548,0.097
5:08:00,0.606,0.681,0.941,0.548,0.097
5:18:00,0.606,0.681,0.948,0.546,0.097
5:28:00,0.605,0.679,0.955,0.543,0.097
5:38:00,0.603,0.676,0.962,0.545,0.097
5:48:00,0.602,0.675,0.97,0.545,0.098
5:58:00,0.6,0.673,0.977,0.56,0.097
6:08:00,0.599,0.672,0.985,0.593,0.097
6:18:00,0.597,0.669,0.993,0.54,0.097
6:28:00,0.595,0.668,1.004,0.54,0.097
6:38:00,0.593,0.667,1.014,0.539,0.097
6:48:00,0.592,0.666,1.021,0.582,0.097
6:58:00,0.592,0.664,1.024,0.544,0.097
7:08:00,0.591,0.664,1.028,0.537,0.098
7:18:00,0.589,0.66,1.034,0.535,0.097
7:28:00,0.588,0.66,1.041,0.532,0.097
7:38:00,0.586,0.659,1.045,0.531,0.097
7:48:00,0.585,0.658,1.049,0.531,0.097
7:58:00,0.583,0.657,1.049,0.533,0.097
8:08:00,0.582,0.661,1.048,0.528,0.097
8:18:00,0.58,0.655,1.048,0.528,0.097
8:28:00,0.579,0.653,1.046,0.536,0.097
8:38:00,0.579,0.654,1.045,0.551,0.097
8:48:00,0.577,0.651,1.043,0.524,0.097
8:58:00,0.577,0.651,1.039,0.524,0.097
9:08:00,0.576,0.649,1.037,0.525,0.098
9:18:00,0.574,0.647,1.036,0.525,0.097
9:28:00,0.574,0.647,1.037,0.524,0.097
9:38:00,0.572,0.646,1.037,0.529,0.097
9:48:00,0.571,0.646,1.037,0.52,0.097
9:58:00,0.571,0.644,1.037,0.523,0.097
10:08:00,0.571,0.644,1.036,0.523,0.098
10:18:00,0.569,0.643,1.035,0.52,0.097
10:28:00,0.568,0.642,1.035,0.524,0.097
10:38:00,0.567,0.64,1.034,0.517,0.097
10:48:00,0.566,0.64,1.034,0.519,0.097
10:58:00,0.566,0.639,1.035,0.517,0.097
11:08:00,0.564,0.638,1.034,0.514,0.097
11:18:00,0.564,0.648,1.032,0.514,0.098
11:28:00,0.563,0.635,1.03,0.514,0.097
11:38:00,0.562,0.635,1.029,0.513,0.097
11:48:00,0.562,0.633,1.028,0.512,0.097
11:58:00,0.56,0.632,1.033,0.513,0.097
12:08:00,0.56,0.631,1.03,0.51,0.098
12:18:00,0.559,0.63,1.033,0.511,0.097
12:28:00,0.558,0.628,1.027,0.51,0.097
12:38:00,0.557,0.627,1.027,0.509,0.097
12:48:00,0.556,0.626,1.023,0.508,0.097
12:58:00,0.556,0.642,1.022,0.508,0.097
13:08:00,0.555,0.625,1.02,0.506,0.097
13:18:00,0.553,0.623,1.02,0.506,0.097
13:28:00,0.553,0.621,1.019,0.508,0.097
13:38:00,0.551,0.62,1.017,0.505,0.097
13:48:00,0.551,0.62,1.017,0.503,0.097
13:58:00,0.55,0.624,1.016,0.502,0.097
14:08:00,0.55,0.618,1.015,0.503,0.097
14:18:00,0.549,0.617,1.014,0.501,0.098
14:28:00,0.548,0.618,1.012,0.5,0.097
14:38:00,0.546,0.615,1.012,0.5,0.097
14:48:00,0.546,0.614,1.011,0.5,0.097
14:58:00,0.545,0.613,1.01,0.501,0.097
15:08:00,0.545,0.614,1.01,0.501,0.097
15:18:00,0.543,0.611,1.009,0.497,0.097
15:28:00,0.543,0.611,1.008,0.496,0.097
15:38:00,0.542,0.61,1.007,0.495,0.097
15:48:00,0.542,0.61,1.006,0.494,0.097
15:58:00,0.54,0.608,1.005,0.499,0.097
16:08:00,0.539,0.607,1.005,0.495,0.097
16:18:00,0.539,0.606,1.004,0.492,0.097
16:28:00,0.538,0.606,1.003,0.494,0.097
16:38:00,0.537,0.604,1.002,0.49,0.097
16:48:00,0.537,0.604,1.001,0.492,0.097
16:58:00,0.536,0.603,1,0.489,0.097
17:08:00,0.536,0.602,1,0.492,0.097
17:18:00,0.535,0.601,0.999,0.487,0.097
17:28:00,0.535,0.601,0.999,0.49,0.098
17:38:00,0.534,0.6,0.999,0.485,0.097
17:48:00,0.533,0.599,0.998,0.484,0.097
17:58:00,0.536,0.598,0.997,0.484,0.097
18:08:00,0.536,0.598,0.997,0.483,0.097
18:18:00,0.531,0.596,0.996,0.482,0.097
18:28:00,0.531,0.596,0.995,0.482,0.097
